entry_time,exit_time,direction,entry_price,exit_price,entry_underlying,exit_underlying,pnl,exit_reason,strike,confidence,reason,0dte_permission,theoretical_entry_price,theoretical_exit_price,commissions,risk,r_multiple,entry_hour,entry_minute,entry_time_of_day,date
2025-04-01 10:20:00-04:00,2025-04-01 10:50:00-04:00,SHORT,3.0557068306044233,1.4186345343458697,555.25,559.2079,-163.70722962585535,SL,556.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,305.5706830604423,-0.5357425914889676,10,20,620,2025-04-01
2025-04-01 10:50:00-04:00,2025-04-01 13:55:00-04:00,LONG,3.0577799910680863,1.7704738434412093,559.2079,559.0,-128.7306147626877,SL,559.0,HIGH,Micro trend up; Price above VWAP; Positive 5-bar return; High quality trading window; 0DTE FAVORABLE (volatile); High IV (elevated volatility),FAVORABLE,,,,305.77799910680864,-0.42099371157740473,10,50,650,2025-04-01
2025-04-02 10:00:00-04:00,2025-04-02 13:00:00-04:00,LONG,3.463297868795949,6.51918672834762,560.45,566.1402,305.5888859551671,TP,560.0,HIGH,Micro trend up; Price above VWAP; Positive 5-bar return; High quality trading window; 0DTE FAVORABLE (volatile); High IV (elevated volatility),FAVORABLE,,,,346.3297868795949,0.8823638552967094,10,0,600,2025-04-02
2025-04-03 10:00:00-04:00,2025-04-03 12:15:00-04:00,SHORT,3.618746733279389,1.998365551702392,543.23,545.59,-162.0381181576997,SL,544.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,361.8746733279389,-0.4477741331481829,10,0,600,2025-04-03
2025-04-03 13:30:00-04:00,2025-04-03 15:30:00-04:00,SHORT,2.2845576729270225,4.68236782719141,542.62,538.345,238.53101542643873,TP,543.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,2.4072047552047025,4.6776901370543555,1.25,228.45576729270226,1.0441015267556273,13,30,810,2025-04-03
2025-04-04 10:05:00-04:00,2025-04-04 10:40:00-04:00,SHORT,3.627578530288265,6.818867057768898,519.78,514.61,319.1288527480633,TP,520.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,362.7578530288265,0.8797296876787497,10,5,605,2025-04-04
2025-04-04 10:40:00-04:00,2025-04-04 11:00:00-04:00,SHORT,3.501048367892548,1.384971843687964,514.61,520.3499,-211.60765242045838,SL,515.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,350.1048367892548,-0.6044122508019943,10,40,640,2025-04-04
2025-04-04 11:30:00-04:00,2025-04-04 12:30:00-04:00,SHORT,3.3691849262600577,6.558335633327374,516.36,511.26,318.9150707067316,TP,517.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,336.9184926260058,0.9465644590210762,11,30,690,2025-04-04
2025-04-04 13:30:00-04:00,2025-04-04 13:45:00-04:00,SHORT,2.5475438769386165,1.2459778051236015,511.42,514.48,-130.1566071815015,SL,512.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window; High IV (elevated volatility),FAVORABLE,,,,254.75438769386164,-0.5109101686519751,13,30,810,2025-04-04
2025-04-04 14:15:00-04:00,2025-04-04 14:35:00-04:00,SHORT,2.1994191339080134,4.354945310699602,510.38,507.12,214.30261767915886,TP,511.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; Afternoon breakout window - boosted confidence; High IV (elevated volatility),FAVORABLE,2.3174955312238694,4.350594715983618,1.25,219.94191339080135,0.9743600679620242,14,15,855,2025-04-04
