entry_time,exit_time,direction,entry_price,exit_price,entry_underlying,exit_underlying,pnl,exit_reason,strike,confidence,reason,0dte_permission,theoretical_entry_price,theoretical_exit_price,commissions,risk,r_multiple,entry_hour,entry_minute,entry_time_of_day,date
2024-04-15 10:00:00-04:00,2024-04-15 10:35:00-04:00,SHORT,2.1686352006620724,4.040547777756842,514.565,511.655,187.191257709477,TP,515.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,,,,216.86352006620723,0.8631754093649708,10,0,600,2024-04-15
2024-04-15 10:40:00-04:00,2024-04-15 13:15:00-04:00,SHORT,2.2956996264087217,4.428494842962209,512.095,508.735,213.27952165534873,TP,513.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,,,,229.56996264087218,0.9290393185670923,10,40,640,2024-04-15
2024-04-15 13:30:00-04:00,2024-04-15 15:15:00-04:00,SHORT,1.6765483728466934,3.309652079214832,506.18,503.71,162.06037063681384,TP,507.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,1.7665543152064629,3.3063457334813506,1.25,167.65483728466936,0.966631045435591,13,30,810,2024-04-15
2024-04-25 10:00:00-04:00,2024-04-25 11:20:00-04:00,SHORT,1.895929444095584,1.0678893952990904,497.83,499.465,-82.80400487964937,SL,498.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,,,,189.5929444095584,-0.4367462361931374,10,0,600,2024-04-25
2024-04-25 13:30:00-04:00,2024-04-25 15:30:00-04:00,LONG,1.8861780935098176,2.841632052728603,501.905,503.825,94.29539592187854,EOD,501.0,HIGH,Micro trend up; Price above VWAP; Positive 5-bar return; High quality trading window; 0DTE FAVORABLE (volatile),FAVORABLE,1.7945655235334357,2.844476529257861,1.25,188.61780935098176,0.49992838028572795,13,30,810,2024-04-25
2024-05-01 10:00:00-04:00,2024-05-01 13:30:00-04:00,SHORT,2.0759257371376614,1.2027874272692998,500.375,501.02,-87.31383098683617,SL,501.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,,,,207.59257371376614,-0.42060190027426836,10,0,600,2024-05-01
2024-05-01 14:25:00-04:00,2024-05-01 14:40:00-04:00,LONG,1.1119171205660694,3.7058689686497437,503.125,506.64,258.1451848083674,TP,503.0,HIGH,Micro trend up; Price above VWAP; Positive 5-bar return; Afternoon breakout window - boosted confidence; 0DTE FAVORABLE (volatile),FAVORABLE,1.0579107754779216,3.7095785471969407,1.25,111.19171205660695,2.321622538530097,14,25,865,2024-05-01
2024-07-24 10:00:00-04:00,2024-07-24 14:40:00-04:00,SHORT,2.2414517724451177,4.338177818499919,546.27,542.68,208.42260460548016,TP,547.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,2.3617847030663484,4.333843974525394,1.25,224.14517724451179,0.9298554051784017,10,0,600,2024-07-24
2024-07-25 10:00:00-04:00,2024-07-25 10:40:00-04:00,SHORT,2.4333593295737543,1.2684709707647244,538.58,541.305,-116.488835880903,SL,539.0,HIGH,Bearish trend; Micro trend down; Price below VWAP; Negative 5-bar return; High quality trading window,FAVORABLE,,,,243.33593295737543,-0.4787161290367587,10,0,600,2024-07-25
2024-07-25 10:55:00-04:00,2024-07-25 13:00:00-04:00,LONG,2.8213788274710936,5.078664643717104,542.8,546.75,225.72858162460108,TP,542.0,HIGH,Micro trend up; Price above VWAP; Positive 5-bar return; High quality trading window; 0DTE FAVORABLE (volatile),FAVORABLE,,,,282.13788274710936,0.8000647748070399,10,55,655,2024-07-25
